Province Name | Province Number | Capital City | ss
------- | -------- | -------- |-
Équateur | 1 | Mbandaka | dd
Haut-Katanga | 2 | Lubumbashi
Haut-Lomami | 23 | Kamina
Ituri | 21 | Bunia
Kasaï | 3 | Tshikapa
Kasaï-Central | 4 | Kananga
Kasaï-Oriental | 5 | Mbuji-Mayi
Kongo Central | 6 | Matadi
Kwilu | 7 | Kikwit
Lomami | 8 | Kabinda
Lualaba | 9 | Kolwezi
Mai-Ndombe | 10 | Inongo
Maniema | 11 | Kindu
Nord-Kivu | 12 | Goma
Nord-Ubangi | 25 | Gbadolite
Orientale | 13 | Kisangani
Sankuru | 14 | Lusambo
Sud-Kivu | 15 | Bukavu
Tshopo | 16 | Kisangani
Tshuapa | 17 | Tshumbe
Ubangi | 18 | Gemena
Uele | 19 | Isiro
Kinshasa | 20 | Kinshasa


